id,client_id,device_id,field,value,created_at,updated_at
25,27,27,totalConnectedDevices,15,2024-12-14 14:47:27,2024-12-14 14:47:27
26,27,27,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
27,27,27,connectedDevices5gRatio,20.0,2024-12-14 14:47:27,2024-12-14 14:47:27
28,27,27,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
29,27,27,protocolCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
30,27,27,massiveEventCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
31,52,52,cpuUsage,41.2832511030947,2024-12-14 14:47:27,2024-12-14 14:47:27
32,52,52,memoryUsage,59.090428186733256,2024-12-14 14:47:27,2024-12-14 14:47:27
33,52,52,rxPower,-17.5,2024-12-14 14:47:27,2024-12-14 14:47:27
34,52,52,temperature,51.15941238288759,2024-12-14 14:47:27,2024-12-14 14:47:27
35,52,52,totalConnectedDevices,15,2024-12-14 14:47:27,2024-12-14 14:47:27
36,52,52,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
37,52,52,connectedDevices5gRatio,20.0,2024-12-14 14:47:27,2024-12-14 14:47:27
38,52,52,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
39,52,52,protocolCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
40,52,52,massiveEventCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
41,28,28,cpuUsage,92.9744297592744,2024-12-14 14:47:27,2024-12-14 14:47:27
42,28,28,memoryUsage,85.34620775636012,2024-12-14 14:47:27,2024-12-14 14:47:27
43,28,28,rxPower,-17.5,2024-12-14 14:47:27,2024-12-14 14:47:27
44,28,28,temperature,73.20519404238505,2024-12-14 14:47:27,2024-12-14 14:47:27
45,28,28,totalConnectedDevices,10,2024-12-14 14:47:27,2024-12-14 14:47:27
46,28,28,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
47,28,28,connectedDevices5gRatio,65.0,2024-12-14 14:47:27,2024-12-14 14:47:27
48,28,28,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
49,28,28,protocolCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
50,28,28,massiveEventCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
51,53,53,cpuUsage,92.9744297592744,2024-12-14 14:47:27,2024-12-14 14:47:27
52,53,53,memoryUsage,85.34620775636012,2024-12-14 14:47:27,2024-12-14 14:47:27
53,53,53,rxPower,-17.5,2024-12-14 14:47:27,2024-12-14 14:47:27
54,53,53,temperature,73.20519404238505,2024-12-14 14:47:27,2024-12-14 14:47:27
55,53,53,totalConnectedDevices,10,2024-12-14 14:47:27,2024-12-14 14:47:27
56,53,53,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
57,53,53,connectedDevices5gRatio,65.0,2024-12-14 14:47:27,2024-12-14 14:47:27
58,53,53,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
59,53,53,protocolCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
60,53,53,massiveEventCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
61,29,29,cpuUsage,43.946900461685324,2024-12-14 14:47:27,2024-12-14 14:47:27
62,29,29,memoryUsage,63.88583298498901,2024-12-14 14:47:27,2024-12-14 14:47:27
63,29,29,rxPower,-17.5,2024-12-14 14:47:27,2024-12-14 14:47:27
64,29,29,temperature,50.388833088537766,2024-12-14 14:47:27,2024-12-14 14:47:27
65,29,29,totalConnectedDevices,10,2024-12-14 14:47:27,2024-12-14 14:47:27
66,29,29,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
67,29,29,connectedDevices5gRatio,65.0,2024-12-14 14:47:27,2024-12-14 14:47:27
68,29,29,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
69,29,29,protocolCount,2,2024-12-14 14:47:27,2024-12-14 14:47:27
70,29,29,massiveEventCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
71,54,54,cpuUsage,43.946900461685324,2024-12-14 14:47:27,2024-12-14 14:47:27
72,54,54,memoryUsage,63.88583298498901,2024-12-14 14:47:27,2024-12-14 14:47:27
73,54,54,rxPower,-17.5,2024-12-14 14:47:27,2024-12-14 14:47:27
74,54,54,temperature,50.388833088537766,2024-12-14 14:47:27,2024-12-14 14:47:27
75,54,54,totalConnectedDevices,10,2024-12-14 14:47:27,2024-12-14 14:47:27
76,54,54,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
77,54,54,connectedDevices5gRatio,65.0,2024-12-14 14:47:27,2024-12-14 14:47:27
78,54,54,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
79,54,54,protocolCount,2,2024-12-14 14:47:27,2024-12-14 14:47:27
80,54,54,massiveEventCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
81,30,30,cpuUsage,48.536064302265935,2024-12-14 14:47:27,2024-12-14 14:47:27
82,30,30,memoryUsage,56.00214856416835,2024-12-14 14:47:27,2024-12-14 14:47:27
83,30,30,rxPower,-17.5,2024-12-14 14:47:27,2024-12-14 14:47:27
84,30,30,temperature,51.74200764811781,2024-12-14 14:47:27,2024-12-14 14:47:27
85,30,30,totalConnectedDevices,10,2024-12-14 14:47:27,2024-12-14 14:47:27
86,30,30,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
87,30,30,connectedDevices5gRatio,65.0,2024-12-14 14:47:27,2024-12-14 14:47:27
88,30,30,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
89,30,30,protocolCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
90,30,30,massiveEventCount,2,2024-12-14 14:47:27,2024-12-14 14:47:27
91,55,55,cpuUsage,48.536064302265935,2024-12-14 14:47:27,2024-12-14 14:47:27
92,55,55,memoryUsage,56.00214856416835,2024-12-14 14:47:27,2024-12-14 14:47:27
93,55,55,rxPower,-17.5,2024-12-14 14:47:27,2024-12-14 14:47:27
94,55,55,temperature,51.74200764811781,2024-12-14 14:47:27,2024-12-14 14:47:27
95,55,55,totalConnectedDevices,10,2024-12-14 14:47:27,2024-12-14 14:47:27
96,55,55,averageWorstRssi,-60,2024-12-14 14:47:27,2024-12-14 14:47:27
97,55,55,connectedDevices5gRatio,65.0,2024-12-14 14:47:27,2024-12-14 14:47:27
98,55,55,rebootCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
99,55,55,protocolCount,0,2024-12-14 14:47:27,2024-12-14 14:47:27
100,55,55,massiveEventCount,2,2024-12-14 14:47:27,2024-12-14 14:47:27
101,26,26,cpuUsage,47.13095090202669,2024-12-15 14:47:27,2024-12-15 14:47:27
102,26,26,memoryUsage,64.05650412278422,2024-12-15 14:47:27,2024-12-15 14:47:27
103,26,26,rxPower,-24.841852599625163,2024-12-15 14:47:27,2024-12-15 14:47:27
104,26,26,temperature,50.47686083812726,2024-12-15 14:47:27,2024-12-15 14:47:27
105,26,26,totalConnectedDevices,10,2024-12-15 14:47:27,2024-12-15 14:47:27
106,26,26,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
107,26,26,connectedDevices5gRatio,65.0,2024-12-15 14:47:27,2024-12-15 14:47:27
108,26,26,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
109,26,26,protocolCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
110,26,26,massiveEventCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
111,51,51,cpuUsage,47.13095090202669,2024-12-15 14:47:27,2024-12-15 14:47:27
112,51,51,memoryUsage,64.05650412278422,2024-12-15 14:47:27,2024-12-15 14:47:27
113,51,51,rxPower,-24.841852599625163,2024-12-15 14:47:27,2024-12-15 14:47:27
114,51,51,temperature,50.47686083812726,2024-12-15 14:47:27,2024-12-15 14:47:27
115,51,51,totalConnectedDevices,10,2024-12-15 14:47:27,2024-12-15 14:47:27
116,51,51,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
117,51,51,connectedDevices5gRatio,65.0,2024-12-15 14:47:27,2024-12-15 14:47:27
118,51,51,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
119,51,51,protocolCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
120,51,51,massiveEventCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
121,27,27,cpuUsage,40.19118601280086,2024-12-15 14:47:27,2024-12-15 14:47:27
122,27,27,memoryUsage,62.561458136470996,2024-12-15 14:47:27,2024-12-15 14:47:27
123,27,27,rxPower,-17.5,2024-12-15 14:47:27,2024-12-15 14:47:27
124,27,27,temperature,56.15886969527572,2024-12-15 14:47:27,2024-12-15 14:47:27
125,27,27,totalConnectedDevices,13,2024-12-15 14:47:27,2024-12-15 14:47:27
126,27,27,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
127,27,27,connectedDevices5gRatio,15.384615384615385,2024-12-15 14:47:27,2024-12-15 14:47:27
128,27,27,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
129,27,27,protocolCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
130,27,27,massiveEventCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
131,52,52,cpuUsage,40.19118601280086,2024-12-15 14:47:27,2024-12-15 14:47:27
132,52,52,memoryUsage,62.561458136470996,2024-12-15 14:47:27,2024-12-15 14:47:27
133,52,52,rxPower,-17.5,2024-12-15 14:47:27,2024-12-15 14:47:27
134,52,52,temperature,56.15886969527572,2024-12-15 14:47:27,2024-12-15 14:47:27
135,52,52,totalConnectedDevices,13,2024-12-15 14:47:27,2024-12-15 14:47:27
136,52,52,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
137,52,52,connectedDevices5gRatio,15.384615384615385,2024-12-15 14:47:27,2024-12-15 14:47:27
138,52,52,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
139,52,52,protocolCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
140,52,52,massiveEventCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
141,28,28,cpuUsage,92.94674821206304,2024-12-15 14:47:27,2024-12-15 14:47:27
142,28,28,memoryUsage,89.02372898126212,2024-12-15 14:47:27,2024-12-15 14:47:27
143,28,28,rxPower,-17.5,2024-12-15 14:47:27,2024-12-15 14:47:27
144,28,28,temperature,81.35166992297229,2024-12-15 14:47:27,2024-12-15 14:47:27
145,28,28,totalConnectedDevices,10,2024-12-15 14:47:27,2024-12-15 14:47:27
146,28,28,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
147,28,28,connectedDevices5gRatio,65.0,2024-12-15 14:47:27,2024-12-15 14:47:27
148,28,28,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
149,28,28,protocolCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
150,28,28,massiveEventCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
151,53,53,cpuUsage,92.94674821206304,2024-12-15 14:47:27,2024-12-15 14:47:27
152,53,53,memoryUsage,89.02372898126212,2024-12-15 14:47:27,2024-12-15 14:47:27
153,53,53,rxPower,-17.5,2024-12-15 14:47:27,2024-12-15 14:47:27
154,53,53,temperature,81.35166992297229,2024-12-15 14:47:27,2024-12-15 14:47:27
155,53,53,totalConnectedDevices,10,2024-12-15 14:47:27,2024-12-15 14:47:27
156,53,53,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
157,53,53,connectedDevices5gRatio,65.0,2024-12-15 14:47:27,2024-12-15 14:47:27
158,53,53,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
159,53,53,protocolCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
160,53,53,massiveEventCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
161,29,29,cpuUsage,47.23487041170449,2024-12-15 14:47:27,2024-12-15 14:47:27
162,29,29,memoryUsage,62.38272437242004,2024-12-15 14:47:27,2024-12-15 14:47:27
163,29,29,rxPower,-17.5,2024-12-15 14:47:27,2024-12-15 14:47:27
164,29,29,temperature,56.77782603936254,2024-12-15 14:47:27,2024-12-15 14:47:27
165,29,29,totalConnectedDevices,10,2024-12-15 14:47:27,2024-12-15 14:47:27
166,29,29,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
167,29,29,connectedDevices5gRatio,65.0,2024-12-15 14:47:27,2024-12-15 14:47:27
168,29,29,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
169,29,29,protocolCount,2,2024-12-15 14:47:27,2024-12-15 14:47:27
170,29,29,massiveEventCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
171,54,54,cpuUsage,47.23487041170449,2024-12-15 14:47:27,2024-12-15 14:47:27
172,54,54,memoryUsage,62.38272437242004,2024-12-15 14:47:27,2024-12-15 14:47:27
173,54,54,rxPower,-17.5,2024-12-15 14:47:27,2024-12-15 14:47:27
174,54,54,temperature,56.77782603936254,2024-12-15 14:47:27,2024-12-15 14:47:27
175,54,54,totalConnectedDevices,10,2024-12-15 14:47:27,2024-12-15 14:47:27
176,54,54,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
177,54,54,connectedDevices5gRatio,65.0,2024-12-15 14:47:27,2024-12-15 14:47:27
178,54,54,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
179,54,54,protocolCount,2,2024-12-15 14:47:27,2024-12-15 14:47:27
180,54,54,massiveEventCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
181,30,30,cpuUsage,42.220928559926904,2024-12-15 14:47:27,2024-12-15 14:47:27
182,30,30,memoryUsage,63.742571764276384,2024-12-15 14:47:27,2024-12-15 14:47:27
183,30,30,rxPower,-17.5,2024-12-15 14:47:27,2024-12-15 14:47:27
184,30,30,temperature,56.63976282247474,2024-12-15 14:47:27,2024-12-15 14:47:27
185,30,30,totalConnectedDevices,10,2024-12-15 14:47:27,2024-12-15 14:47:27
186,30,30,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
187,30,30,connectedDevices5gRatio,65.0,2024-12-15 14:47:27,2024-12-15 14:47:27
188,30,30,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
189,30,30,protocolCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
190,30,30,massiveEventCount,2,2024-12-15 14:47:27,2024-12-15 14:47:27
191,55,55,cpuUsage,42.220928559926904,2024-12-15 14:47:27,2024-12-15 14:47:27
192,55,55,memoryUsage,63.742571764276384,2024-12-15 14:47:27,2024-12-15 14:47:27
193,55,55,rxPower,-17.5,2024-12-15 14:47:27,2024-12-15 14:47:27
194,55,55,temperature,56.63976282247474,2024-12-15 14:47:27,2024-12-15 14:47:27
195,55,55,totalConnectedDevices,10,2024-12-15 14:47:27,2024-12-15 14:47:27
196,55,55,averageWorstRssi,-60,2024-12-15 14:47:27,2024-12-15 14:47:27
197,55,55,connectedDevices5gRatio,65.0,2024-12-15 14:47:27,2024-12-15 14:47:27
198,55,55,rebootCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
199,55,55,protocolCount,0,2024-12-15 14:47:27,2024-12-15 14:47:27
200,55,55,massiveEventCount,2,2024-12-15 14:47:27,2024-12-15 14:47:27
201,26,26,cpuUsage,44.2988431745732,2024-12-16 14:47:27,2024-12-16 14:47:27
202,26,26,memoryUsage,64.18884287727973,2024-12-16 14:47:27,2024-12-16 14:47:27
203,26,26,rxPower,-24.60620930088315,2024-12-16 14:47:27,2024-12-16 14:47:27
204,26,26,temperature,53.48418444228992,2024-12-16 14:47:27,2024-12-16 14:47:27
205,26,26,totalConnectedDevices,10,2024-12-16 14:47:27,2024-12-16 14:47:27
206,26,26,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
207,26,26,connectedDevices5gRatio,65.0,2024-12-16 14:47:27,2024-12-16 14:47:27
208,26,26,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
209,26,26,protocolCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
210,26,26,massiveEventCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
211,51,51,cpuUsage,44.2988431745732,2024-12-16 14:47:27,2024-12-16 14:47:27
212,51,51,memoryUsage,64.18884287727973,2024-12-16 14:47:27,2024-12-16 14:47:27
213,51,51,rxPower,-24.60620930088315,2024-12-16 14:47:27,2024-12-16 14:47:27
214,51,51,temperature,53.48418444228992,2024-12-16 14:47:27,2024-12-16 14:47:27
215,51,51,totalConnectedDevices,10,2024-12-16 14:47:27,2024-12-16 14:47:27
216,51,51,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
217,51,51,connectedDevices5gRatio,65.0,2024-12-16 14:47:27,2024-12-16 14:47:27
218,51,51,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
219,51,51,protocolCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
220,51,51,massiveEventCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
221,27,27,cpuUsage,47.89021024026352,2024-12-16 14:47:27,2024-12-16 14:47:27
222,27,27,memoryUsage,59.9731510535074,2024-12-16 14:47:27,2024-12-16 14:47:27
223,27,27,rxPower,-17.5,2024-12-16 14:47:27,2024-12-16 14:47:27
224,27,27,temperature,53.96068924824493,2024-12-16 14:47:27,2024-12-16 14:47:27
225,27,27,totalConnectedDevices,17,2024-12-16 14:47:27,2024-12-16 14:47:27
226,27,27,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
227,27,27,connectedDevices5gRatio,29.411764705882355,2024-12-16 14:47:27,2024-12-16 14:47:27
228,27,27,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
229,27,27,protocolCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
230,27,27,massiveEventCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
231,52,52,cpuUsage,47.89021024026352,2024-12-16 14:47:27,2024-12-16 14:47:27
232,52,52,memoryUsage,59.9731510535074,2024-12-16 14:47:27,2024-12-16 14:47:27
233,52,52,rxPower,-17.5,2024-12-16 14:47:27,2024-12-16 14:47:27
234,52,52,temperature,53.96068924824493,2024-12-16 14:47:27,2024-12-16 14:47:27
235,52,52,totalConnectedDevices,17,2024-12-16 14:47:27,2024-12-16 14:47:27
236,52,52,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
237,52,52,connectedDevices5gRatio,29.411764705882355,2024-12-16 14:47:27,2024-12-16 14:47:27
238,52,52,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
239,52,52,protocolCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
240,52,52,massiveEventCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
241,28,28,cpuUsage,90.8913876219209,2024-12-16 14:47:27,2024-12-16 14:47:27
242,28,28,memoryUsage,80.68511680149716,2024-12-16 14:47:27,2024-12-16 14:47:27
243,28,28,rxPower,-17.5,2024-12-16 14:47:27,2024-12-16 14:47:27
244,28,28,temperature,81.53957119911095,2024-12-16 14:47:27,2024-12-16 14:47:27
245,28,28,totalConnectedDevices,10,2024-12-16 14:47:27,2024-12-16 14:47:27
246,28,28,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
247,28,28,connectedDevices5gRatio,65.0,2024-12-16 14:47:27,2024-12-16 14:47:27
248,28,28,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
249,28,28,protocolCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
250,28,28,massiveEventCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
251,53,53,cpuUsage,90.8913876219209,2024-12-16 14:47:27,2024-12-16 14:47:27
252,53,53,memoryUsage,80.68511680149716,2024-12-16 14:47:27,2024-12-16 14:47:27
253,53,53,rxPower,-17.5,2024-12-16 14:47:27,2024-12-16 14:47:27
254,53,53,temperature,81.53957119911095,2024-12-16 14:47:27,2024-12-16 14:47:27
255,53,53,totalConnectedDevices,10,2024-12-16 14:47:27,2024-12-16 14:47:27
256,53,53,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
257,53,53,connectedDevices5gRatio,65.0,2024-12-16 14:47:27,2024-12-16 14:47:27
258,53,53,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
259,53,53,protocolCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
260,53,53,massiveEventCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
261,29,29,cpuUsage,41.812031541666634,2024-12-16 14:47:27,2024-12-16 14:47:27
262,29,29,memoryUsage,57.16774525841703,2024-12-16 14:47:27,2024-12-16 14:47:27
263,29,29,rxPower,-17.5,2024-12-16 14:47:27,2024-12-16 14:47:27
264,29,29,temperature,50.087820448559874,2024-12-16 14:47:27,2024-12-16 14:47:27
265,29,29,totalConnectedDevices,10,2024-12-16 14:47:27,2024-12-16 14:47:27
266,29,29,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
267,29,29,connectedDevices5gRatio,65.0,2024-12-16 14:47:27,2024-12-16 14:47:27
268,29,29,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
269,29,29,protocolCount,2,2024-12-16 14:47:27,2024-12-16 14:47:27
270,29,29,massiveEventCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
271,54,54,cpuUsage,41.812031541666634,2024-12-16 14:47:27,2024-12-16 14:47:27
272,54,54,memoryUsage,57.16774525841703,2024-12-16 14:47:27,2024-12-16 14:47:27
273,54,54,rxPower,-17.5,2024-12-16 14:47:27,2024-12-16 14:47:27
274,54,54,temperature,50.087820448559874,2024-12-16 14:47:27,2024-12-16 14:47:27
275,54,54,totalConnectedDevices,10,2024-12-16 14:47:27,2024-12-16 14:47:27
276,54,54,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
277,54,54,connectedDevices5gRatio,65.0,2024-12-16 14:47:27,2024-12-16 14:47:27
278,54,54,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
279,54,54,protocolCount,2,2024-12-16 14:47:27,2024-12-16 14:47:27
280,54,54,massiveEventCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
281,30,30,cpuUsage,45.14684505237046,2024-12-16 14:47:27,2024-12-16 14:47:27
282,30,30,memoryUsage,59.13239210957343,2024-12-16 14:47:27,2024-12-16 14:47:27
283,30,30,rxPower,-17.5,2024-12-16 14:47:27,2024-12-16 14:47:27
284,30,30,temperature,57.29774121263877,2024-12-16 14:47:27,2024-12-16 14:47:27
285,30,30,totalConnectedDevices,10,2024-12-16 14:47:27,2024-12-16 14:47:27
286,30,30,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
287,30,30,connectedDevices5gRatio,65.0,2024-12-16 14:47:27,2024-12-16 14:47:27
288,30,30,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
289,30,30,protocolCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
290,30,30,massiveEventCount,2,2024-12-16 14:47:27,2024-12-16 14:47:27
291,55,55,cpuUsage,45.14684505237046,2024-12-16 14:47:27,2024-12-16 14:47:27
292,55,55,memoryUsage,59.13239210957343,2024-12-16 14:47:27,2024-12-16 14:47:27
293,55,55,rxPower,-17.5,2024-12-16 14:47:27,2024-12-16 14:47:27
294,55,55,temperature,57.29774121263877,2024-12-16 14:47:27,2024-12-16 14:47:27
295,55,55,totalConnectedDevices,10,2024-12-16 14:47:27,2024-12-16 14:47:27
296,55,55,averageWorstRssi,-60,2024-12-16 14:47:27,2024-12-16 14:47:27
297,55,55,connectedDevices5gRatio,65.0,2024-12-16 14:47:27,2024-12-16 14:47:27
298,55,55,rebootCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
299,55,55,protocolCount,0,2024-12-16 14:47:27,2024-12-16 14:47:27
300,55,55,massiveEventCount,2,2024-12-16 14:47:27,2024-12-16 14:47:27
301,26,26,cpuUsage,42.92710690918005,2024-12-17 14:47:27,2024-12-17 14:47:27
302,26,26,memoryUsage,61.32431005713881,2024-12-17 14:47:27,2024-12-17 14:47:27
303,26,26,rxPower,-24.90789242373846,2024-12-17 14:47:27,2024-12-17 14:47:27
304,26,26,temperature,53.06349958861547,2024-12-17 14:47:27,2024-12-17 14:47:27
305,26,26,totalConnectedDevices,10,2024-12-17 14:47:27,2024-12-17 14:47:27
306,26,26,averageWorstRssi,-60,2024-12-17 14:47:27,2024-12-17 14:47:27
307,26,26,connectedDevices5gRatio,65.0,2024-12-17 14:47:27,2024-12-17 14:47:27
308,26,26,rebootCount,0,2024-12-17 14:47:27,2024-12-17 14:47:27
309,26,26,protocolCount,0,2024-12-17 14:47:27,2024-12-17 14:47:27
310,26,26,massiveEventCount,0,2024-12-17 14:47:27,2024-12-17 14:47:27
311,51,51,cpuUsage,42.92710690918005,2024-12-17 14:47:27,2024-12-17 14:47:27
312,51,51,memoryUsage,61.32431005713881,2024-12-17 14:47:27,2024-12-17 14:47:27
313,51,51,rxPower,-24.90789242373846,2024-12-17 14:47:27,2024-12-17 14:47:27
314,51,51,temperature,53.06349958861547,2024-12-17 14:47:27,2024-12-17 14:47:27
315,51,51,totalConnectedDevices,10,2024-12-17 14:47:27,2024-12-17 14:47:27
316,51,51,averageWorstRssi,-60,2024-12-17 14:47:27,2024-12-17 14:47:27
317,51,51,connectedDevices5gRatio,65.0,2024-12-17 14:47:27,2024-12-17 14:47:27
